Date,Open,High,Low,Close,Adj Close,Volume
1996-05-01,5142.700195,5162.399902,5142.700195,5151.100098,5151.100098,978500
1996-05-02,5135.299805,5144.000000,5116.500000,5117.200195,5117.200195,102700
1996-05-03,5120.299805,5137.700195,5116.700195,5124.500000,5124.500000,705900
1996-05-06,5138.100098,5141.399902,5129.899902,5140.100098,5140.100098,894700
1996-05-07,5145.899902,5167.100098,5145.899902,5167.100098,5167.100098,983400
1996-05-08,5166.899902,5166.899902,5140.200195,5160.799805,5160.799805,932200
1996-05-09,5153.799805,5162.100098,5153.100098,5161.200195,5161.200195,882200
1996-05-10,5173.500000,5176.799805,5167.200195,5176.799805,5176.799805,923900
1996-05-13,5174.399902,5191.100098,5172.500000,5191.100098,5191.100098,806500
1996-05-14,5203.100098,5209.899902,5200.299805,5206.600098,5206.600098,21500
1996-05-15,5216.399902,5228.899902,5213.000000,5213.000000,5213.000000,1222000
1996-05-16,5204.799805,5208.600098,5195.399902,5208.299805,5208.299805,224900
1996-05-17,5212.299805,5220.500000,5208.299805,5220.500000,5220.500000,1030800
1996-05-20,null,null,null,null,null,null
1996-05-21,5231.899902,5238.299805,5224.799805,5238.299805,5238.299805,861000
1996-05-22,5227.799805,5240.899902,5227.799805,5239.899902,5239.899902,860100
1996-05-23,5238.100098,5238.399902,5222.500000,5223.200195,5223.200195,1011200
1996-05-24,5220.700195,5229.899902,5219.600098,5229.899902,5229.899902,932800
1996-05-27,5229.899902,5236.200195,5225.799805,5235.500000,5235.500000,789900
1996-05-28,5248.399902,5248.399902,5216.200195,5219.299805,5219.299805,965400
1996-05-29,5218.799805,5221.399902,5200.700195,5209.799805,5209.799805,1011900
1996-05-30,5207.600098,5226.799805,5203.799805,5225.399902,5225.399902,1044300
1996-05-31,5232.100098,5247.899902,5223.700195,5246.399902,5246.399902,1149300
1996-06-03,5234.600098,5237.500000,5232.799805,5234.299805,5234.299805,959200
1996-06-04,5243.600098,5243.600098,5222.200195,5224.500000,5224.500000,984700
1996-06-05,5212.299805,5212.799805,5186.000000,5194.899902,5194.899902,996700
1996-06-06,5182.100098,5182.100098,5141.600098,5158.399902,5158.399902,1252400
1996-06-07,5120.500000,5137.299805,5109.899902,5137.299805,5137.299805,864400
1996-06-10,5141.100098,5141.500000,5132.100098,5134.100098,5134.100098,714700
1996-06-11,5134.399902,5134.399902,5106.299805,5106.299805,5106.299805,836300
1996-06-12,5118.299805,5119.000000,5094.600098,5094.600098,5094.600098,878100
1996-06-13,5094.600098,5094.600098,5065.399902,5069.600098,5069.600098,821200
1996-06-14,5062.100098,5062.100098,5029.600098,5030.200195,5030.200195,758600
1996-06-17,5037.200195,5045.000000,5024.899902,5043.399902,5043.399902,621900
1996-06-18,5054.600098,5070.799805,5054.600098,5060.700195,5060.700195,917200
1996-06-19,5073.799805,5082.799805,5067.700195,5072.700195,5072.700195,928700
1996-06-20,5077.899902,5078.399902,5054.200195,5058.000000,5058.000000,822000
1996-06-21,5058.500000,5058.500000,5047.000000,5047.500000,5047.500000,893000
1996-06-24,5055.000000,5074.700195,5046.899902,5074.299805,5074.299805,631500
1996-06-25,5087.200195,5087.700195,5064.600098,5069.600098,5069.600098,774900
1996-06-26,5062.500000,5062.500000,5027.700195,5027.700195,5027.700195,711800
1996-06-27,5025.899902,5025.899902,5006.100098,5011.600098,5011.600098,732500
1996-06-28,5024.299805,5044.700195,5024.299805,5044.100098,5044.100098,669100
1996-07-01,null,null,null,null,null,null
1996-07-02,5070.399902,5072.399902,5057.600098,5061.500000,5061.500000,580900
1996-07-03,5068.100098,5074.100098,5067.399902,5073.899902,5073.899902,682800
1996-07-04,5073.899902,5087.100098,5073.899902,5086.399902,5086.399902,503600
1996-07-05,5055.100098,5072.799805,5055.100098,5062.799805,5062.799805,639400
1996-07-08,5055.399902,5055.399902,5034.299805,5034.500000,5034.500000,655200
1996-07-09,5050.899902,5077.500000,5048.500000,5076.700195,5076.700195,747600
1996-07-10,5084.000000,5098.299805,5072.299805,5098.299805,5098.299805,820500
1996-07-11,5089.100098,5089.100098,5053.200195,5055.399902,5055.399902,773500
1996-07-12,5055.200195,5062.000000,5037.399902,5041.500000,5041.500000,704500
1996-07-15,5036.200195,5036.200195,4955.100098,4955.299805,4955.299805,627200
1996-07-16,4949.299805,4958.100098,4814.100098,4920.600098,4920.600098,830100
1996-07-17,4937.299805,4940.500000,4919.799805,4940.000000,4940.000000,663100
1996-07-18,4957.299805,5009.200195,4957.299805,5006.899902,5006.899902,700200
1996-07-19,5011.600098,5011.600098,5000.899902,5005.000000,5005.000000,685700
1996-07-22,4994.000000,4994.000000,4962.799805,4971.700195,4971.700195,529500
1996-07-23,4977.000000,4977.000000,4918.600098,4918.600098,4918.600098,677900
1996-07-24,4871.500000,4884.899902,4871.000000,4880.299805,4880.299805,651400
1996-07-25,4898.399902,4906.600098,4898.399902,4906.299805,4906.299805,628500
1996-07-26,4915.600098,4933.299805,4911.200195,4933.299805,4933.299805,515500
1996-07-29,4921.500000,4921.500000,4896.299805,4896.299805,4896.299805,495400
1996-07-30,4907.299805,4907.299805,4891.600098,4901.200195,4901.200195,533700
1996-07-31,4907.700195,4937.600098,4907.700195,4929.200195,4929.200195,687700
1996-08-01,4933.200195,4959.899902,4933.200195,4953.000000,4953.000000,672300
1996-08-02,4978.000000,5015.799805,4975.100098,5015.600098,5015.600098,577500
1996-08-05,null,null,null,null,null,null
1996-08-06,5022.399902,5024.299805,5010.399902,5024.299805,5024.299805,620700
1996-08-07,5030.500000,5031.799805,5021.799805,5031.799805,5031.799805,623500
